id,title,date,journal
1,A 44-Year-Old Man With Erythema Of The Face Diphenhydramine Neck And Chest Weakness And Palpitations,2019-01-01,Journal of emergency nursing
2,An Evaluation Of Benadryl Pyribenzamine And Other So-Called Diphenhydramine Antihistaminic Drugs In The Treatment Of Allergy,2019-01-01,Journal of emergency nursing
3,Diphenhydramine Hydrochloride Helps Symptoms Of Ciguatera Fish Poisoning,2019-01-02,The Journal of pediatrics
4,Tetracycline Resistance Patterns Of Lactobacillus Buchneri Group Strains,2020-01-01,Journal of food protection
5,Appositional Tetracycline Bone Formation Rates In The Beagle,2020-01-02,American journal of veterinary research
6,Rapid Reacquisition Of Contextual Fear Following Extinction In Mice Effects Of Amount Of Extinction Tetracycline Acute Ethanol Withdrawal And Ethanol Intoxication,2020-01-01,Psychopharmacology
7,The High Cost Of Epinephrine Autoinjectors And Possible Alternatives,2020-02-01,The journal of allergy and clinical immunology. In practice
8,Time To Epinephrine Treatment Is Associated With The Risk Of Mortality In Children Who Achieve Sustained Rosc After Traumatic Out-Of-Hospital Cardiac Arrest,2020-03-01,The journal of allergy and clinical immunology. In practice
9,Gold Nanoparticles Synthesized From Euphorbia Fischeriana Root By Green Route Method Alleviates The Isoprenaline Hydrochloride Induced Myocardial Infarction In Rats,2020-01-01,"Journal of photochemistry and photobiology. B, Biology"
10,Clinical Implications Of Umbilical Artery Doppler Changes After Betamethasone Administration,2020-01-01,The journal of maternal-fetal & neonatal medicine
11,Effects Of Topical Application Of Betamethasone On Imiquimod-Induced Psoriasis-Like Skin Inflammation In Mice,2020-01-01,Journal of back and musculoskeletal rehabilitation
12,Comparison Of Pressure Release Phonophoresis And Dry Needling In Treatment Of Latent Myofascial Trigger Point Of Upper Trapezius Muscle,2020-03-01,Journal of back and musculoskeletal rehabilitation
